,Nombre,Descripción,Tipo,tags,link contenido,link del del thumbnail,file_name
1,¿Qué es el asma?,"El asma es una enfermedad respiratoria crónica que puede afectar significativamente la calidad de vida si no se reconoce y trata adecuadamente. Conocer qué es, cuáles son sus síntomas, cómo se diagnostica y las opciones de tratamiento es fundamental… descubre en esta infografía la información clave para entenderla y controlarla mejor.",Infografia,#asma #sibilancias #tos #diagnósticoasma,https://drive.google.com/file/d/100Gy-5_cko7px3DOXl6NHfRAv4dDcZhs/view?usp=share_link,,que-es-el-asma.pdf
2,Flujometría ,"La flujometría es una herramienta sencilla y práctica que permite medir el flujo de aire al exhalar, ayudando a monitorear el estado de las vías respiratorias en pacientes con asma. Su uso regular facilita detectar cambios tempranos y ajustar el tratamiento de forma oportuna… descubre cómo puede ayudarte a tener un mejor control de la enfermedad.",Infografía,#flujometría #asma #controldelasma #flujometro,https://drive.google.com/file/d/1aZ_UA4BMVgQ82HMwA52utT7KLnY0tne2/view?usp=share_link,,flujometria.pdf
3,Plan de acción,"El plan de acción en asma es una guía personalizada que ayuda al paciente a reconocer sus síntomas, monitorear su enfermedad y saber exactamente qué hacer en cada momento. Permite actuar de forma oportuna ante cambios en el estado respiratorio… descubre cómo puede darte mayor control y seguridad en el manejo del asma.",Infografía,#asma #plandeaccion #diariodesintomas #crisisasmatica #ataquedeasma,https://drive.google.com/file/d/1trW40KZd_DlQsTUxplBC7E2xzvZARBGO/view?usp=share_link,,plan-de-accion.pdf
4,Terapia smart,"La terapia SMART en asma es una estrategia innovadora que utiliza un solo inhalador tanto para el control diario como para el alivio de los síntomas. Esto simplifica el tratamiento y mejora la adherencia, permitiendo un mejor control de la enfermedad… descubre cómo funciona y en qué pacientes está indicada. ",Infografia,#terapiasmart #asma #tratamientoasma,https://drive.google.com/file/d/196HPP5_67yg3emgAcbZTXrhxbBCZU1nO/view?usp=share_link,,terapia-smart.pdf
5,Complicaciones respiratorias de la artritis reumatoide,"La artritis reumatoide no solo afecta las articulaciones, también puede tener impacto en los pulmones y la función respiratoria. Conocer sus posibles complicaciones pulmonares es clave para un diagnóstico oportuno y un manejo integral… descubre cómo identificarlas y qué hacer para prevenirlas",Infografía,#artritisreumatoide #complicacionesrespiratoriasdeartritisreumatoide #bronquiectasias,https://drive.google.com/file/d/1Xmlzlj83mMuBNHhsXOMEw_WFo0fXZQ5t/view?usp=share_link,,complicaciones-respiratorias-de-la-artritis-reumatoide.pdf
6,Complicaciones respiratorias de la esclerosis sistémica,"La esclerosis sistémica es una enfermedad autoinmune que puede afectar múltiples órganos, incluyendo los pulmones. Sus complicaciones respiratorias pueden ser graves si no se detectan a tiempo… descubre cuáles son, cómo identificarlas y qué hacer para un manejo oportuno y efectivo.",Infografía,#esclerodermia #esclerosisistémica,https://drive.google.com/file/d/1mpUA1nHxa1AmU8orhshRhnfLguoPM3u5/view?usp=share_link,,complicaciones-respiratorias-de-la-esclerosis-sistemica.pdf
7,Cuidados paliativos en enfermedades respiratorias,"En las enfermedades respiratorias avanzadas, el enfoque no solo es tratar la enfermedad, sino mejorar la calidad de vida. Los cuidados paliativos ayudan a aliviar síntomas como la disnea, el dolor y la ansiedad, brindando un acompañamiento integral al paciente y su familia… descubre cómo pueden hacer una gran diferencia en cada etapa de la enfermedad.",Infografía,#Cuidadospaliativos #cuidadospaliativos #paliacióndesintomas,https://drive.google.com/file/d/1uR0kgyziemll99TjoL3w4pq0H9wQzlBO/view?usp=share_link,,cuidados-paliativos-en-enfermedades-respiratorias.pdf
8,Fibrosis pulmonar idiopática,"La fibrosis pulmonar idiopática es una enfermedad crónica y progresiva que afecta la capacidad de los pulmones para intercambiar oxígeno. Detectarla a tiempo y comprender su evolución es fundamental para un manejo adecuado… descubre sus síntomas, cómo se diagnostica y las opciones actuales de tratamiento.",Inforgrafía,"#fibrosispulmonar #fibrosispulmonaridiopática #fpi ""ILD #enfermedadpulmonarintersticial",https://drive.google.com/file/d/1DvJnSaInXadNW3esUyiu4lxydh8sc8ri/view?usp=share_link,,fibrosis-pulmonar-idiopatica.pdf
9,Neumonitis por hipersensibilidad,"La neumonitis por hipersensibilidad es una enfermedad pulmonar causada por la inhalación repetida de sustancias orgánicas que generan una reacción inflamatoria en los pulmones. Identificar a tiempo los factores desencadenantes es clave para evitar su progresión… descubre sus síntomas, cómo se diagnostica y qué medidas pueden proteger tu salud respiratoria. ",Infografía,#neumonitisporhipersensibilidad #enfermedadpulmonarintersticial #ILD #fibrosispulmonar #Pulmóndelgranjero ,https://drive.google.com/file/d/1hhT3MebLjXvqxKIMgQSX5gAf6I5COlRB/view?usp=share_link,,neumonitis-por-hipersensibilidad.pdf
10,Recomendaciones para pacientes tratados con Nintedanib,"El nintedanib es un antifibrótico clave en el tratamiento de diversas enfermedades pulmonares fibrosantes, como la fibrosis pulmonar idiopática, la fibrosis pulmonar progresiva y la asociada a esclerosis sistémica. Su uso puede ayudar a enlentecer la progresión de la enfermedad… descubre cómo actúa y en qué pacientes está indicado.
Importante: Este medicamento debe ser prescrito y supervisado por un médico especialista.",Infografía,#fibrosispulmonar #tratamientodelafibrosispulmonar #nintedanib #antifibrótico #diarrea,https://drive.google.com/file/d/19765Rnf58uMM29TtWNw3bzPDqMCKPYlp/view?usp=share_link,,recomendaciones-para-pacientes-tratados-con-nintedanib.pdf
11,Recomendaciones para pacientes tratados con Pirfenidona,"La pirfenidona es un antifibrótico utilizado en el tratamiento de la fibrosis pulmonar idiopática, ayudando a ralentizar la progresión de la enfermedad y preservar la función pulmonar… descubre cómo actúa y cuándo está indicada.
Importante: Este medicamento debe ser prescrito y supervisado por un médico especialista.",Infografía,#fibrosispulmonar #tratamientodelafibrosispulmonar #pirfenidona #antifibrótico #quemadurasolar,https://drive.google.com/file/d/1jY1yahUzNPpLRew_lsArrU3hCBL9VMHt/view?usp=share_link,,recomendaciones-para-pacientes-tratados-con-pirfenidona.pdf
12,Silicosis,La silicosis es una enfermedad pulmonar de origen ocupacional por exposición al sílice,Infografia,#silicosis #neumoconiosis #silice #enfermedadpulmonarocupacional,https://drive.google.com/file/d/1IVmB0-0R0bHzBLYZWAGVgLU_QWsvSdU2/view?usp=share_link,,silicosis.pdf
13,"Síndrome combinado ""fibrosis pulmonar y enfisema""",El sindrome combinado es la combinación de fibrosis pulmonar y enfisema en un mismo paciente,Infografía,#sindromecombinado #fibrosispulmonar #enfisema #consecuenciasdelcigarro,https://drive.google.com/file/d/1LsMpPA_Lzg9UWCkZwrOIdfhncVtJ-Moy/view?usp=share_link,,sindrome-combinado-fibrosis-pulmonar-y-enfisema.pdf
14,Dieta saludable ¿Como aliviar la diarrea e inflamación intestinal?,"Cuando hay diarrea, el intestino se encuentra inflamado y más sensible de lo habitual. Una dieta antiinflamatoria puede ayudar a reducir la irritación, favorecer la recuperación intestinal y mejorar los síntomas… descubre qué alimentos elegir y cuáles evitar para lograrlo",Infografía,#dietaantinflamatoria #diarrea #inflamacionintestinal #colitis,https://drive.google.com/file/d/1ly9lR0KZGiNqSHllGMEuSeu7eOfG7CWS/view?usp=share_link,,dieta-saludable-como-aliviar-la-diarrea-e-inflamacion-intestinal.pdf
15,Dieta de la milpa ,"La dieta de la milpa es un modelo de alimentación tradicional mesoamericano basado en la combinación de cultivos como maíz, frijol, calabaza y chile, que juntos ofrecen un equilibrio nutricional completo. Este sistema no solo promueve una alimentación saludable y sostenible, sino que también preserva la biodiversidad, la cultura y los saberes ancestrales de México.",Infografía,#dieta #dietadelamilpa #dietamilpa #dietasaludable,https://drive.google.com/file/d/1quH5LGoRU-ojEWm-pZtO-Yptz72_pumr/view?usp=share_link,,dieta-de-la-milpa.pdf
16,Dieta hipercalórica e hiperproteica ,"En enfermedades crónicas complejas, como las respiratorias o el cáncer, el cuerpo requiere más energía y proteínas para mantenerse fuerte y responder al tratamiento. En estos casos, las dietas hipercalóricas e hiperproteicas juegan un papel clave… descubre cómo pueden marcar la diferencia en la recuperación y calidad de vida.",Infografía,#dietahipercalorica #dietahiperproteica #dietaricaenproteinas #dietaricaencalorias,https://drive.google.com/file/d/1FH3rbXKfi4BFr6LWEUWF23BJPVvGWRdA/view?usp=share_link,,dieta-hipercalorica-e-hiperproteica.pdf
17,Dieta inflamatoria y anti-inflamatoria,"La alimentación puede ser tu mejor aliada… o tu peor enemiga. Algunos alimentos favorecen la inflamación en el cuerpo, mientras que otros ayudan a reducirla y proteger tu salud. Entender esta diferencia es clave para prevenir enfermedades y sentirte mejor día a día… descubre en esta infografía qué elegir y qué evitar.",Infografia ,#dietaantinflamatorio #dietainflamatoria #dietasaludable,https://drive.google.com/file/d/17GcRUtykUymoWn7yjaARJEW9-svrW8Id/view?usp=share_link,,dieta-inflamatoria-y-anti-inflamatoria.pdf
18,Recomendaciones nutricionales para personas que padecen reflujo gastroesofágico,"Cuida tu digestión, mejora tu calidad de vida.
Si padeces reflujo gastroesofágico, pequeños cambios en tu alimentación pueden marcar una gran diferencia. Descubre en esta infografía qué alimentos evitar, cuáles elegir y hábitos clave para reducir los síntomas y sentirte mejor cada día.",Infografia ,#reflujogastroesofagico #reflujo #acidez #regurgitación #esofagitis #dietaantireflujo #recomendacionesreflujo,https://drive.google.com/file/d/1VDbdpDvU8OX6Wtw07_YAoWKM5GBHua9S/view?usp=share_link,,recomendaciones-nutricionales-para-personas-que-padecen-reflujo-gastroesofagico.pdf
19,"Oxígeno ""Mitos y realidades""","El oxígeno no es peligroso… pero tampoco es para todos.
Existen muchos mitos alrededor de su uso que pueden poner en riesgo tu salud. En esta infografía descubrirás las verdades y realidades sobre el oxígeno: cuándo es necesario, cómo usarlo correctamente y por qué siempre debe indicarlo un profesional de la salud.",Infografía,#oxígeno #oxígenomedicinal #oxigenosuplementario #tanquedeoxígeno #concentradordeoxígeno #usodeoxígeno,https://drive.google.com/file/d/1FpxtYtOf6l5y33_mqUtCj8FOQ8xHNYG8/view?usp=share_link,,oxigeno-mitos-y-realidades.pdf
20,Uso correcto de cilindros de oxígeno suplementario,"El oxígeno puede salvar vidas… si se usa correctamente.
El manejo inadecuado de cilindros de oxígeno puede representar riesgos importantes. En esta infografía conocerás cómo utilizarlos de forma segura, recomendaciones clave para su manejo y errores que debes evitar para proteger tu salud y la de quienes te rodean.",Infografía,#tanquesdeoxígeno #cilindrosdeoxígeno #oxígenomedicinal #usodeoxígeno,https://drive.google.com/file/d/16w5CeQCAwZ3TF7KuZMHXzj9ad6mhClO6/view?usp=share_link,,uso-correcto-de-cilindros-de-oxigeno-suplementario.pdf
21,Esquema de vacunación,"Vacunarse es proteger tu presente y tu futuro.
Cada etapa de la vida requiere vacunas específicas para mantener una salud óptima. En esta infografía descubrirás el esquema de vacunación recomendado por grupo etario y cómo prevenir enfermedades de forma segura y efectiva.",Infografía,#vacunas #esquemadevacunación #quevacunasponerme #vacunadeinfluenza #vacunadecovid #vacunadesarampion #vacunadetosferina #vacunadeneumococo,https://drive.google.com/file/d/14H3lEO3yQz9J6E6d4sLKGsdbMHn0Q8zb/view?usp=share_link,,esquema-de-vacunacion.pdf
22,Ténicas de higiene bronquial,"Respirar mejor también se entrena.
Las técnicas de higiene bronquial forman parte esencial de la rehabilitación respiratoria, ayudando a movilizar secreciones, mejorar la ventilación y reducir síntomas. En esta infografía descubrirás cómo estas estrategias pueden ayudarte a cuidar tus pulmones y optimizar tu calidad de vida.",Infografía,#higienebronquial #tos #secreciones #chalecopercutor #couhgassist #asistentedetos #expectoración #rehabilitacionpulmonar #rehabilitacionrespiratoria,https://drive.google.com/file/d/1OdegLvk_0wHCR_44lOqg8HCT8x6gWCXy/view?usp=share_link,,tenicas-de-higiene-bronquial.pdf
23,Control de tos,"La tos puede ser un síntoma molesto, pero también es un reflejo natural de defensa del cuerpo.
Aprender a controlarla no siempre depende solo de medicamentos: existen técnicas y hábitos que ayudan a hacerla más efectiva, reducir la irritación y mejorar tu respiración. En esta infografía descubrirás cómo manejar la tos de forma adecuada y cuidar mejor tus vías respiratorias.",Infografía,#tos #tosseca #tosconflema #toshumeda #asistentedetos #tratamientodelatos #rehabilitacionpulmonar,https://drive.google.com/file/d/17wUAw1upJbBiCwcdRaTcaEaaKPuY0g0T/view?usp=share_link,,control-de-tos.pdf
24,Técnicas de ahorro de energía,"Respirar mejor también implica usar tu energía de forma inteligente.
En personas con enfermedades respiratorias o cardiacas, ajustar las actividades de la vida diaria puede marcar una gran diferencia. En esta infografía descubrirás técnicas de ahorro de energía que te ayudarán a reducir la fatiga, mejorar tu desempeño y mantener tu independencia con mayor calidad de vida.",Infografía,#tecnicasdeahorrodeenergia #calidaddevida #rehabilitacionpulmonar #ahorrodeenergía,https://drive.google.com/file/d/1iJ9s6N5SdcTJd7K2q65DR-lZbx9DMNrp/view?usp=share_link,,tecnicas-de-ahorro-de-energia.pdf
25,Entendiendo el asma,"El asma es una enfermedad común, pero muchas veces mal comprendida.
En este video te explicamos de forma clara qué es el asma, cuáles son sus síntomas, qué la desencadena y cómo puede controlarse para llevar una vida plena y activa.",Video,#asma #controldelasma #asmaalergico #asmanoalérgico #sintomasdelasma #diagnósticodelasma #tratamientodelasma,https://drive.google.com/file/d/1NVhRsNSsgLqb2EMPaeukR_vXjUt1lAyB/view?usp=share_link,,entendiendo-el-asma.mp4
26,¿Como saber si necesito usar oxígeno suplementario?,"El oxígeno no es para todos… pero saber cuándo usarlo es clave.
En este video te explicamos cómo identificar si una persona necesita oxígeno suplementario, qué signos deben alertarte y por qué su uso siempre debe estar indicado por un profesional de la salud.",Video,#oxígeno #oxígenomedicinal #oxigenosuplementario #tanquedeoxígeno #concentradordeoxígeno #usodeoxígeno #oxigenoterapia,https://drive.google.com/file/d/1gNE5SU9cbC-BGSBKEYxuJ20lGvh-prwP/view?usp=share_link,,como-saber-si-necesito-usar-oxigeno-suplementario.mp4
27,Cuidados de la traqueostomía,"La traqueostomía requiere cuidados precisos… pero con la información adecuada, puedes hacerlo con seguridad.
En este video te explicamos paso a paso cómo realizar los cuidados en casa, prevenir complicaciones y mantener una adecuada higiene para proteger la salud del paciente.",Video,#traqueostomia #cuidadosdelatraqueostomia #higienedelatraqueostomia #canuladetraqueostomia,https://drive.google.com/file/d/10lZyMOfa9pb4BGVyFs5Yr7eat0gYtyaE/view?usp=share_link,,cuidados-de-la-traqueostomia.mp4
28,Mitos sobre el uso de oxígeno suplementario,"El oxígeno no es peligroso… pero tampoco es para todos.
Existen muchos mitos alrededor de su uso que pueden poner en riesgo tu salud. En esta infografía descubrirás las verdades y realidades sobre el oxígeno: cuándo es necesario, cómo usarlo correctamente y por qué siempre debe indicarlo un profesional de la salud.",Video,#oxígeno #oxígenomedicinal #oxigenosuplementario #tanquedeoxígeno #concentradordeoxígeno #usodeoxígeno #oxigenoterapia,https://drive.google.com/file/d/1ObkQwdgYxSFMLQGS42UnH15-q45iiXBp/view?usp=share_link,,mitos-sobre-el-uso-de-oxigeno-suplementario.mp4
29,Uso de dispositivos de oxígeno ,"El oxígeno salva vidas… pero usarlo bien hace toda la diferencia.
En este video te explicamos cómo funcionan los distintos dispositivos de oxígeno suplementario, como tanques y concentradores, y cómo utilizarlos de forma segura y correcta en casa para obtener el máximo beneficio.",Video,#oxígeno #oxígenomedicinal #oxigenosuplementario #tanquedeoxígeno #concentradordeoxígeno #usodeoxígeno #oxigenoterapia,https://drive.google.com/file/d/1-B9MO-0ZHazNLoxGmDMzQt7ai5_YMzPG/view?usp=share_link,,uso-de-dispositivos-de-oxigeno.mp4
31,Uso correcto del oxímetro de pulso,"Medir tu oxígeno puede darte información clave… si sabes cómo hacerlo bien.
En este video te explicamos cómo usar correctamente el oxímetro de pulso, cómo interpretar sus valores y en qué situaciones debes prestar atención para cuidar tu salud respiratoria",Video,#oximetrodepulso #oxímetros #oxígeno #comomedirlaoxigenación,https://drive.google.com/file/d/1pt63IxxaiP07q0LjEr47kCzoX0TfL7rr/view?usp=share_link,,uso-correcto-del-oximetro-de-pulso.mp4
32,Uso y cuidados de las aerocamaras,"Usar bien tu inhalador hace la diferencia… y la aerocámara es tu mejor aliada.
En este video te explicamos cómo utilizar correctamente la aerocámara, cómo cuidarla y por qué su uso mejora la efectividad del tratamiento inhalado.",Video,#aerocamara #aerochamber #usodeaerocamara #técnicadeaerocamara #limpiezadeaerocamara,https://drive.google.com/file/d/1rO2uy3snPNtGKZCQgIidOoKjMH2iBw17/view?usp=share_link,,uso-y-cuidados-de-las-aerocamaras.mp4
33,Enfermedades pulmonares intersticiales,"Las enfermedades pulmonares intersticiales pueden ser complejas… pero entenderlas es el primer paso.
En este video te explicamos de forma clara qué es la fibrosis pulmonar, cuáles son sus síntomas, cómo se diagnostica y qué opciones existen para su manejo y seguimiento.",Video,#enfermedadespulmonaresintersticiales #EPID #Fibrosispulmonar #fibrosispulmonaridiopatica #neumonitisporhipersensibilidad ,https://drive.google.com/file/d/1PtE1BPwVJXdV7FUHnpKL24Jyea-fC1VC/view?usp=share_link,,enfermedades-pulmonares-intersticiales.mp4
